Year,State,Industry Sector Category,AvgCent_kWh
6/13/2011,MI,Full-Service Providers,12.46
6/20/2011,MN,Full-Service Providers,10.59
6/27/2011,MO,Full-Service Providers,9.08
7/4/2011,MS,Full-Service Providers,9.87
7/11/2011,MT,Full-Service Providers,9.16
7/18/2011,NC,Full-Service Providers,10.12
7/25/2011,ND,Full-Service Providers,8.13
8/1/2011,NE,Full-Service Providers,8.94
8/8/2011,NH,Full-Service Providers,16.32
8/15/2011,NJ,Full-Service Providers,16.58
8/22/2011,NM,Full-Service Providers,10.52
8/29/2011,NV,Full-Service Providers,12.36
9/5/2011,NY,Full-Service Providers,18.51
9/12/2011,OH,Full-Service Providers,11.31
9/19/2011,OK,Full-Service Providers,9.14
9/26/2011,OR,Full-Service Providers,8.87
10/3/2011,PA,Full-Service Providers,12.68
10/10/2011,RI,Full-Service Providers,15.93
10/17/2011,SC,Full-Service Providers,10.50
10/24/2011,SD,Full-Service Providers,8.97
10/31/2011,TN,Full-Service Providers,9.23
11/7/2011,TX,Full-Service Providers,11.60
11/14/2011,UT,Full-Service Providers,8.71
11/21/2011,VA,Full-Service Providers,10.45
11/28/2011,VT,Full-Service Providers,15.57
12/5/2011,WA,Full-Service Providers,8.04
12/12/2011,WI,Full-Service Providers,12.65
12/19/2011,WV,Full-Service Providers,8.79
12/26/2011,WY,Full-Service Providers,8.77
1/11/2010,AK,Full-Service Providers,17.14
1/18/2010,AL,Full-Service Providers,10.66
1/25/2010,AR,Full-Service Providers,9.14
2/1/2010,AZ,Full-Service Providers,10.73
2/8/2010,CA,Full-Service Providers,14.74
2/15/2010,CO,Full-Service Providers,10.00
2/22/2010,CT,Full-Service Providers,20.36
3/1/2010,DC,Full-Service Providers,13.68
3/8/2010,DE,Full-Service Providers,14.04
3/15/2010,FL,Full-Service Providers,12.39
3/22/2010,GA,Full-Service Providers,10.13
3/29/2010,HI,Full-Service Providers,24.20
4/5/2010,IA,Full-Service Providers,9.99
4/12/2010,ID,Full-Service Providers,7.80
4/19/2010,IL,Full-Service Providers,11.27
4/26/2010,IN,Full-Service Providers,9.50
5/3/2010,KS,Full-Service Providers,9.53
5/10/2010,KY,Full-Service Providers,8.37
5/17/2010,LA,Full-Service Providers,8.10
5/24/2010,MA,Full-Service Providers,16.66
5/31/2010,MD,Full-Service Providers,14.95
6/7/2010,ME,Full-Service Providers,16.16
6/14/2010,MI,Full-Service Providers,11.60
6/21/2010,MN,Full-Service Providers,10.04
6/28/2010,MO,Full-Service Providers,8.54
7/5/2010,MS,Full-Service Providers,10.22
7/12/2010,MT,Full-Service Providers,8.94
7/19/2010,NC,Full-Service Providers,9.99
7/26/2010,ND,Full-Service Providers,7.58
8/2/2010,NE,Full-Service Providers,8.52
8/9/2010,NH,Full-Service Providers,16.36
8/16/2010,NJ,Full-Service Providers,16.31
8/23/2010,NM,Full-Service Providers,10.02
8/30/2010,NV,Full-Service Providers,12.86
9/6/2010,NY,Full-Service Providers,17.16
9/13/2010,OH,Full-Service Providers,10.63
9/20/2010,OK,Full-Service Providers,8.49
9/27/2010,OR,Full-Service Providers,8.68
10/4/2010,PA,Full-Service Providers,11.60
10/11/2010,RI,Full-Service Providers,15.60
10/18/2010,SC,Full-Service Providers,10.44
10/25/2010,SD,Full-Service Providers,8.49
11/1/2010,TN,Full-Service Providers,9.32
11/8/2010,TX,Full-Service Providers,12.38
11/15/2010,UT,Full-Service Providers,8.48
11/22/2010,VA,Full-Service Providers,10.61
11/29/2010,VT,Full-Service Providers,14.90
12/6/2010,WA,Full-Service Providers,7.67
12/13/2010,WI,Full-Service Providers,11.94
12/20/2010,WV,Full-Service Providers,7.90
12/27/2010,WY,Full-Service Providers,8.58
1/12/2009,AK,Full-Service Providers,16.56
1/19/2009,AL,Full-Service Providers,10.40
1/26/2009,AR,Full-Service Providers,9.27
2/2/2009,AZ,Full-Service Providers,10.27
2/9/2009,CA,Full-Service Providers,13.79
2/16/2009,CO,Full-Service Providers,10.13
2/23/2009,CT,Full-Service Providers,19.49
3/2/2009,DC,Full-Service Providers,12.74
3/9/2009,DE,Full-Service Providers,13.89
3/16/2009,FL,Full-Service Providers,11.65
3/23/2009,GA,Full-Service Providers,9.93
3/30/2009,HI,Full-Service Providers,32.50
4/6/2009,IA,Full-Service Providers,9.49
4/13/2009,ID,Full-Service Providers,6.99
4/20/2009,IL,Full-Service Providers,11.07
4/27/2009,IN,Full-Service Providers,8.87
5/4/2009,KS,Full-Service Providers,8.89
5/11/2009,KY,Full-Service Providers,7.94
5/18/2009,LA,Full-Service Providers,10.28
5/25/2009,MA,Full-Service Providers,17.40
6/1/2009,MD,Full-Service Providers,13.78
6/8/2009,ME,Full-Service Providers,15.20
6/15/2009,MI,Full-Service Providers,10.75
6/22/2009,MN,Full-Service Providers,9.74
6/29/2009,MO,Full-Service Providers,8.00
7/6/2009,MS,Full-Service Providers,10.39
7/13/2009,MT,Full-Service Providers,9.13
7/20/2009,NC,Full-Service Providers,9.52
7/27/2009,ND,Full-Service Providers,7.51
8/3/2009,NE,Full-Service Providers,7.87
8/10/2009,NH,Full-Service Providers,15.68
8/17/2009,NJ,Full-Service Providers,15.66
8/24/2009,NM,Full-Service Providers,10.01
8/31/2009,NV,Full-Service Providers,11.93
9/7/2009,NY,Full-Service Providers,17.98
9/14/2009,OH,Full-Service Providers,10.03
9/21/2009,OK,Full-Service Providers,9.09
9/28/2009,OR,Full-Service Providers,8.49
10/5/2009,PA,Full-Service Providers,11.29
10/12/2009,RI,Full-Service Providers,17.46
10/19/2009,SC,Full-Service Providers,9.89
10/26/2009,SD,Full-Service Providers,8.27
11/2/2009,TN,Full-Service Providers,8.91
11/9/2009,TX,Full-Service Providers,13.03
11/16/2009,UT,Full-Service Providers,8.26
11/23/2009,VA,Full-Service Providers,9.61
11/30/2009,VT,Full-Service Providers,14.48
12/7/2009,WA,Full-Service Providers,7.54
12/14/2009,WI,Full-Service Providers,11.51
12/21/2009,WV,Full-Service Providers,7.06
12/28/2009,WY,Full-Service Providers,8.21
1/14/2008,AK,Full-Service Providers,15.18
1/21/2008,AL,Full-Service Providers,9.32
1/28/2008,AR,Full-Service Providers,8.73
2/4/2008,AZ,Full-Service Providers,9.66
2/11/2008,CA,Full-Service Providers,14.41
2/18/2008,CO,Full-Service Providers,9.25
2/25/2008,CT,Full-Service Providers,19.45
3/3/2008,DC,Full-Service Providers,11.16
3/10/2008,DE,Full-Service Providers,13.18
3/17/2008,FL,Full-Service Providers,11.22
3/24/2008,GA,Full-Service Providers,9.10
3/31/2008,HI,Full-Service Providers,24.12
4/7/2008,IA,Full-Service Providers,9.45
4/14/2008,ID,Full-Service Providers,6.36
4/21/2008,IL,Full-Service Providers,10.12
4/28/2008,IN,Full-Service Providers,8.26
5/5/2008,KS,Full-Service Providers,8.19
5/12/2008,KY,Full-Service Providers,7.34
5/19/2008,LA,Full-Service Providers,9.37
5/26/2008,MA,Full-Service Providers,16.11
6/2/2008,MD,Full-Service Providers,11.87
6/9/2008,ME,Full-Service Providers,13.07
6/16/2008,MI,Full-Service Providers,10.21
6/23/2008,MN,Full-Service Providers,9.18
6/30/2008,MO,Full-Service Providers,7.69
7/7/2008,MS,Full-Service Providers,9.36
7/14/2008,MT,Full-Service Providers,8.77
7/21/2008,NC,Full-Service Providers,9.40
7/28/2008,ND,Full-Service Providers,7.30
8/4/2008,NE,Full-Service Providers,7.59
8/11/2008,NH,Full-Service Providers,14.88
8/18/2008,NJ,Full-Service Providers,14.14
8/25/2008,NM,Full-Service Providers,9.12
9/1/2008,NV,Full-Service Providers,11.82
9/8/2008,NY,Full-Service Providers,17.01
9/15/2008,OH,Full-Service Providers,9.54
9/22/2008,OK,Full-Service Providers,8.58
9/29/2008,OR,Full-Service Providers,8.19
10/6/2008,PA,Full-Service Providers,10.90
10/13/2008,RI,Full-Service Providers,14.04
10/20/2008,SC,Full-Service Providers,9.19
10/27/2008,SD,Full-Service Providers,8.07
11/3/2008,TN,Full-Service Providers,7.84
11/10/2008,TX,Full-Service Providers,12.34
11/17/2008,UT,Full-Service Providers,8.15
11/24/2008,VA,Full-Service Providers,8.74
12/1/2008,VT,Full-Service Providers,14.15
12/8/2008,WA,Full-Service Providers,7.26
12/15/2008,WI,Full-Service Providers,10.87
12/22/2008,WV,Full-Service Providers,6.73
12/29/2008,WY,Full-Service Providers,7.75
1/15/2007,AK,Full-Service Providers,14.83
1/22/2007,AL,Full-Service Providers,8.75
1/29/2007,AR,Full-Service Providers,8.85
2/5/2007,AZ,Full-Service Providers,9.40
2/12/2007,CA,Full-Service Providers,14.32
2/19/2007,CO,Full-Service Providers,9.02
2/26/2007,CT,Full-Service Providers,16.85
3/5/2007,DC,Full-Service Providers,9.86
3/12/2007,DE,Full-Service Providers,11.85
3/19/2007,FL,Full-Service Providers,11.33
3/26/2007,GA,Full-Service Providers,8.91
4/2/2007,HI,Full-Service Providers,23.35
4/9/2007,IA,Full-Service Providers,9.63
4/16/2007,ID,Full-Service Providers,6.21
4/23/2007,IL,Full-Service Providers,8.42
4/30/2007,IN,Full-Service Providers,8.22
5/7/2007,KS,Full-Service Providers,8.25
5/14/2007,KY,Full-Service Providers,7.02
5/21/2007,LA,Full-Service Providers,9.14
5/28/2007,MA,Full-Service Providers,16.40
6/4/2007,MD,Full-Service Providers,9.69
6/11/2007,ME,Full-Service Providers,13.36
6/18/2007,MI,Full-Service Providers,9.77
6/25/2007,MN,Full-Service Providers,8.70
7/2/2007,MO,Full-Service Providers,7.44
7/9/2007,MS,Full-Service Providers,9.66
7/16/2007,MT,Full-Service Providers,8.28
7/23/2007,NC,Full-Service Providers,9.12
7/30/2007,ND,Full-Service Providers,7.14
8/6/2007,NE,Full-Service Providers,7.41
8/13/2007,NH,Full-Service Providers,14.68
8/20/2007,NJ,Full-Service Providers,12.84
8/27/2007,NM,Full-Service Providers,9.06
9/3/2007,NV,Full-Service Providers,11.08
9/10/2007,NY,Full-Service Providers,16.91
9/17/2007,OH,Full-Service Providers,9.31
9/24/2007,OK,Full-Service Providers,8.55
10/1/2007,OR,Full-Service Providers,7.48
10/8/2007,PA,Full-Service Providers,10.31
10/15/2007,RI,Full-Service Providers,15.12
10/22/2007,SC,Full-Service Providers,9.03
10/29/2007,SD,Full-Service Providers,7.83
11/5/2007,TN,Full-Service Providers,7.75
11/12/2007,TX,Full-Service Providers,12.86
11/19/2007,UT,Full-Service Providers,7.59
11/26/2007,VA,Full-Service Providers,8.49
12/3/2007,VT,Full-Service Providers,13.39
12/10/2007,WA,Full-Service Providers,6.82
12/17/2007,WI,Full-Service Providers,10.51
12/24/2007,WV,Full-Service Providers,6.35
12/31/2007,WY,Full-Service Providers,7.75
1/9/2006,AK,Full-Service Providers,13.30
1/16/2006,AL,Full-Service Providers,8.00
1/23/2006,AR,Full-Service Providers,8.00
1/30/2006,AZ,Full-Service Providers,8.86
2/6/2006,CA,Full-Service Providers,12.49
2/13/2006,CO,Full-Service Providers,9.06
2/20/2006,CT,Full-Service Providers,13.64
2/27/2006,DC,Full-Service Providers,9.09
3/6/2006,DE,Full-Service Providers,9.01
3/13/2006,FL,Full-Service Providers,9.62
3/20/2006,GA,Full-Service Providers,8.64
3/27/2006,HI,Full-Service Providers,20.70
4/3/2006,IA,Full-Service Providers,9.27
4/10/2006,ID,Full-Service Providers,6.29
4/17/2006,IL,Full-Service Providers,8.34
4/24/2006,IN,Full-Service Providers,7.50
5/1/2006,KS,Full-Service Providers,7.90
5/8/2006,KY,Full-Service Providers,6.57
5/15/2006,LA,Full-Service Providers,8.87
5/22/2006,MA,Full-Service Providers,13.25
5/29/2006,MD,Full-Service Providers,8.44
6/5/2006,ME,Full-Service Providers,9.20
6/12/2006,MI,Full-Service Providers,8.40
6/19/2006,MN,Full-Service Providers,8.28
6/26/2006,MO,Full-Service Providers,7.08
7/3/2006,MS,Full-Service Providers,8.71
7/10/2006,MT,Full-Service Providers,8.10
7/17/2006,NC,Full-Service Providers,8.65
7/24/2006,ND,Full-Service Providers,6.99
7/31/2006,NE,Full-Service Providers,7.14
8/7/2006,NH,Full-Service Providers,13.51
8/14/2006,NJ,Full-Service Providers,11.74
8/21/2006,NM,Full-Service Providers,9.13
8/28/2006,NV,Full-Service Providers,10.20
9/4/2006,NY,Full-Service Providers,15.86
9/11/2006,OH,Full-Service Providers,8.19
9/18/2006,OK,Full-Service Providers,7.95
9/25/2006,OR,Full-Service Providers,7.25
10/2/2006,PA,Full-Service Providers,9.81
10/9/2006,RI,Full-Service Providers,13.04
10/16/2006,SC,Full-Service Providers,8.67
10/23/2006,SD,Full-Service Providers,7.77
10/30/2006,TN,Full-Service Providers,6.98
11/6/2006,TX,Full-Service Providers,10.93
11/13/2006,UT,Full-Service Providers,7.52
11/20/2006,VA,Full-Service Providers,8.16
11/27/2006,VT,Full-Service Providers,12.96
12/4/2006,WA,Full-Service Providers,6.54
12/11/2006,WI,Full-Service Providers,9.66
12/18/2006,WV,Full-Service Providers,6.21
12/25/2006,WY,Full-Service Providers,7.48
1/10/2005,AK,Full-Service Providers,12.44
1/17/2005,AL,Full-Service Providers,7.62
1/24/2005,AR,Full-Service Providers,7.36
1/31/2005,AZ,Full-Service Providers,8.46
2/7/2005,CA,Full-Service Providers,12.20
2/14/2005,CO,Full-Service Providers,8.42
2/21/2005,CT,Full-Service Providers,11.63
2/28/2005,DC,Full-Service Providers,7.97
3/7/2005,DE,Full-Service Providers,8.78
3/14/2005,FL,Full-Service Providers,8.99
3/21/2005,GA,Full-Service Providers,7.86
3/28/2005,HI,Full-Service Providers,18.06
4/4/2005,IA,Full-Service Providers,8.96
4/11/2005,ID,Full-Service Providers,6.10
4/18/2005,IL,Full-Service Providers,8.37
4/25/2005,IN,Full-Service Providers,7.30
5/2/2005,KS,Full-Service Providers,7.74
5/9/2005,KY,Full-Service Providers,6.11
5/16/2005,LA,Full-Service Providers,8.05
5/23/2005,MA,Full-Service Providers,11.72
5/30/2005,MD,Full-Service Providers,7.78
6/6/2005,ME,Full-Service Providers,8.41
6/13/2005,MI,Full-Service Providers,8.33
6/20/2005,MN,Full-Service Providers,7.92
6/27/2005,MO,Full-Service Providers,6.97
7/4/2005,MS,Full-Service Providers,8.21
7/11/2005,MT,Full-Service Providers,7.86
7/18/2005,NC,Full-Service Providers,8.45
7/25/2005,ND,Full-Service Providers,6.79
8/1/2005,NE,Full-Service Providers,6.96
8/8/2005,NH,Full-Service Providers,12.49
8/15/2005,NJ,Full-Service Providers,11.25
8/22/2005,NM,Full-Service Providers,8.67
8/29/2005,NV,Full-Service Providers,9.69
9/5/2005,NY,Full-Service Providers,14.60
9/12/2005,OH,Full-Service Providers,8.14
9/19/2005,OK,Full-Service Providers,7.72
9/26/2005,OR,Full-Service Providers,7.18
10/3/2005,PA,Full-Service Providers,9.38
10/10/2005,RI,Full-Service Providers,12.19
10/17/2005,SC,Full-Service Providers,8.12
10/24/2005,SD,Full-Service Providers,7.65
10/31/2005,TN,Full-Service Providers,6.90
11/7/2005,TX,Full-Service Providers,9.73
11/14/2005,UT,Full-Service Providers,7.21
11/21/2005,VA,Full-Service Providers,7.99
11/28/2005,VT,Full-Service Providers,12.94
12/5/2005,WA,Full-Service Providers,6.37
12/12/2005,WI,Full-Service Providers,9.07
12/19/2005,WV,Full-Service Providers,6.23
12/26/2005,WY,Full-Service Providers,7.21
1/12/2004,AK,Full-Service Providers,11.98
1/19/2004,AL,Full-Service Providers,7.39
1/26/2004,AR,Full-Service Providers,7.24
2/2/2004,AZ,Full-Service Providers,8.35
2/9/2004,CA,Full-Service Providers,12.23
2/16/2004,CO,Full-Service Providers,8.14
2/23/2004,CT,Full-Service Providers,11.34
3/1/2004,DC,Full-Service Providers,7.85
3/8/2004,DE,Full-Service Providers,8.59
3/15/2004,FL,Full-Service Providers,8.55
3/22/2004,GA,Full-Service Providers,7.70
3/29/2004,HI,Full-Service Providers,16.73
4/5/2004,IA,Full-Service Providers,8.57
4/12/2004,ID,Full-Service Providers,6.24
4/19/2004,IL,Full-Service Providers,8.38
4/26/2004,IN,Full-Service Providers,7.04
5/3/2004,KS,Full-Service Providers,7.71
5/10/2004,KY,Full-Service Providers,5.81
5/17/2004,LA,Full-Service Providers,7.84
5/24/2004,MA,Full-Service Providers,11.55
5/31/2004,MD,Full-Service Providers,7.72
6/7/2004,ME,Full-Service Providers,8.66
6/14/2004,MI,Full-Service Providers,8.35
6/21/2004,MN,Full-Service Providers,7.65
6/28/2004,MO,Full-Service Providers,6.96
7/5/2004,MS,Full-Service Providers,7.60
7/12/2004,MT,Full-Service Providers,7.56
7/19/2004,NC,Full-Service Providers,8.32
7/26/2004,ND,Full-Service Providers,6.49
8/2/2004,NE,Full-Service Providers,6.87
8/9/2004,NH,Full-Service Providers,11.98
8/16/2004,NJ,Full-Service Providers,10.68
8/23/2004,NM,Full-Service Providers,8.69
8/30/2004,NV,Full-Service Providers,9.02
9/6/2004,NY,Full-Service Providers,14.28
9/13/2004,OH,Full-Service Providers,7.95
9/20/2004,OK,Full-Service Providers,7.47
9/27/2004,OR,Full-Service Providers,7.06
10/4/2004,PA,Full-Service Providers,9.50
10/11/2004,RI,Full-Service Providers,11.61
10/18/2004,SC,Full-Service Providers,8.01
10/25/2004,SD,Full-Service Providers,7.47
11/1/2004,TN,Full-Service Providers,6.55
11/8/2004,TX,Full-Service Providers,9.16
11/15/2004,UT,Full-Service Providers,6.90
11/22/2004,VA,Full-Service Providers,7.76
11/29/2004,VT,Full-Service Providers,12.82
12/6/2004,WA,Full-Service Providers,6.31
12/13/2004,WI,Full-Service Providers,8.67
12/20/2004,WV,Full-Service Providers,6.24
12/27/2004,WY,Full-Service Providers,7.04
1/13/2003,AK,Full-Service Providers,12.05
1/20/2003,AL,Full-Service Providers,7.12
1/27/2003,AR,Full-Service Providers,7.25
2/3/2003,AZ,Full-Service Providers,8.27
2/10/2003,CA,Full-Service Providers,12.63
2/17/2003,CO,Full-Service Providers,7.37
2/24/2003,CT,Full-Service Providers,10.96
3/3/2003,DC,Full-Service Providers,7.98
3/10/2003,DE,Full-Service Providers,8.70
3/17/2003,FL,Full-Service Providers,8.16
3/24/2003,GA,Full-Service Providers,7.63
3/31/2003,HI,Full-Service Providers,15.63
4/7/2003,IA,Full-Service Providers,8.35
4/14/2003,ID,Full-Service Providers,6.59
4/21/2003,IL,Full-Service Providers,8.39
4/28/2003,IN,Full-Service Providers,6.91
5/5/2003,KS,Full-Service Providers,7.67
5/12/2003,KY,Full-Service Providers,5.65
5/19/2003,LA,Full-Service Providers,7.10
5/26/2003,MA,Full-Service Providers,10.89
6/2/2003,MD,Full-Service Providers,7.73
6/9/2003,ME,Full-Service Providers,12.95
6/16/2003,MI,Full-Service Providers,8.28
6/23/2003,MN,Full-Service Providers,7.49
6/30/2003,MO,Full-Service Providers,7.06
7/7/2003,MS,Full-Service Providers,7.28
7/14/2003,MT,Full-Service Providers,7.23
7/21/2003,NC,Full-Service Providers,8.19
7/28/2003,ND,Full-Service Providers,6.39
8/4/2003,NE,Full-Service Providers,6.73
8/11/2003,NH,Full-Service Providers,11.88
8/18/2003,NJ,Full-Service Providers,10.38
8/25/2003,NM,Full-Service Providers,8.50
9/1/2003,NV,Full-Service Providers,9.43
9/8/2003,NY,Full-Service Providers,13.46
9/15/2003,OH,Full-Service Providers,7.98
9/22/2003,OK,Full-Service Providers,6.73
9/29/2003,OR,Full-Service Providers,7.12
10/6/2003,PA,Full-Service Providers,9.57
10/13/2003,RI,Full-Service Providers,10.21
10/20/2003,SC,Full-Service Providers,7.72
10/27/2003,SD,Full-Service Providers,7.40
11/3/2003,TN,Full-Service Providers,6.41
11/10/2003,TX,Full-Service Providers,8.05
11/17/2003,UT,Full-Service Providers,6.79
11/24/2003,VA,Full-Service Providers,7.79
12/1/2003,VT,Full-Service Providers,12.78
12/8/2003,WA,Full-Service Providers,6.29
12/15/2003,WI,Full-Service Providers,8.18
12/22/2003,WV,Full-Service Providers,6.23
12/29/2003,WY,Full-Service Providers,6.97
1/14/2002,AK,Full-Service Providers,12.12
1/21/2002,AL,Full-Service Providers,7.01
1/28/2002,AR,Full-Service Providers,7.72
2/4/2002,AZ,Full-Service Providers,8.30
2/11/2002,CA,Full-Service Providers,12.08
2/18/2002,CO,Full-Service Providers,7.47
2/25/2002,CT,Full-Service Providers,10.91
3/4/2002,DC,Full-Service Providers,7.80
3/11/2002,DE,Full-Service Providers,8.61
3/18/2002,FL,Full-Service Providers,8.59
3/25/2002,GA,Full-Service Providers,7.72
4/1/2002,HI,Full-Service Providers,16.34
4/8/2002,IA,Full-Service Providers,8.41
4/15/2002,ID,Full-Service Providers,6.01
4/22/2002,IL,Full-Service Providers,8.71
4/29/2002,IN,Full-Service Providers,6.92
5/6/2002,KS,Full-Service Providers,7.66
5/13/2002,KY,Full-Service Providers,5.58
5/20/2002,LA,Full-Service Providers,7.92
5/27/2002,MA,Full-Service Providers,12.47
6/3/2002,MD,Full-Service Providers,7.66
6/10/2002,ME,Full-Service Providers,15.24
6/17/2002,MI,Full-Service Providers,8.26
6/24/2002,MN,Full-Service Providers,7.61
7/1/2002,MO,Full-Service Providers,7.00
7/8/2002,MS,Full-Service Providers,7.37
7/15/2002,MT,Full-Service Providers,6.88
7/22/2002,NC,Full-Service Providers,8.12
7/29/2002,ND,Full-Service Providers,6.47
8/5/2002,NE,Full-Service Providers,6.50
8/12/2002,NH,Full-Service Providers,12.49
8/19/2002,NJ,Full-Service Providers,10.22
8/26/2002,NM,Full-Service Providers,8.74
9/2/2002,NV,Full-Service Providers,9.08
9/9/2002,NY,Full-Service Providers,13.99
9/16/2002,OH,Full-Service Providers,8.32
9/23/2002,OK,Full-Service Providers,7.27
9/30/2002,OR,Full-Service Providers,6.29
10/7/2002,PA,Full-Service Providers,9.39
10/14/2002,RI,Full-Service Providers,12.13
10/21/2002,SC,Full-Service Providers,7.69
10/28/2002,SD,Full-Service Providers,7.42
11/4/2002,TN,Full-Service Providers,6.32
11/11/2002,TX,Full-Service Providers,8.86
11/18/2002,UT,Full-Service Providers,6.72
11/25/2002,VA,Full-Service Providers,7.79
12/2/2002,VT,Full-Service Providers,12.67
12/9/2002,WA,Full-Service Providers,5.70
12/16/2002,WI,Full-Service Providers,7.90
12/23/2002,WV,Full-Service Providers,6.26
12/30/2002,WY,Full-Service Providers,6.77
1/15/2001,AK,Full-Service Providers,11.45
1/22/2001,AL,Full-Service Providers,7.05
1/29/2001,AR,Full-Service Providers,7.45
2/5/2001,AZ,Full-Service Providers,8.44
2/12/2001,CA,Full-Service Providers,10.85
2/19/2001,CO,Full-Service Providers,7.31
2/26/2001,CT,Full-Service Providers,10.86
3/5/2001,DC,Full-Service Providers,8.03
3/12/2001,DE,Full-Service Providers,8.54
3/19/2001,FL,Full-Service Providers,7.77
3/26/2001,GA,Full-Service Providers,7.60
4/2/2001,HI,Full-Service Providers,16.41
4/9/2001,IA,Full-Service Providers,8.37
4/16/2001,ID,Full-Service Providers,5.39
4/23/2001,IL,Full-Service Providers,8.83
4/30/2001,IN,Full-Service Providers,6.87
5/7/2001,KS,Full-Service Providers,7.65
5/14/2001,KY,Full-Service Providers,5.47
5/21/2001,LA,Full-Service Providers,7.67
5/28/2001,MA,Full-Service Providers,10.53
6/4/2001,MD,Full-Service Providers,7.96
6/11/2001,ME,Full-Service Providers,12.92
6/18/2001,MI,Full-Service Providers,8.53
6/25/2001,MN,Full-Service Providers,7.52
7/2/2001,MO,Full-Service Providers,7.04
7/9/2001,MS,Full-Service Providers,6.93
7/16/2001,MT,Full-Service Providers,6.48
7/23/2001,NC,Full-Service Providers,7.97
7/30/2001,ND,Full-Service Providers,6.44
8/6/2001,NE,Full-Service Providers,6.53
8/13/2001,NH,Full-Service Providers,13.14
8/20/2001,NJ,Full-Service Providers,10.29
8/27/2001,NM,Full-Service Providers,8.36
9/3/2001,NV,Full-Service Providers,7.28
9/10/2001,NY,Full-Service Providers,14.03
9/17/2001,OH,Full-Service Providers,8.61
9/24/2001,OK,Full-Service Providers,7.03
10/1/2001,OR,Full-Service Providers,5.88
10/8/2001,PA,Full-Service Providers,9.35
10/15/2001,RI,Full-Service Providers,11.28
10/22/2001,SC,Full-Service Providers,7.58
10/29/2001,SD,Full-Service Providers,7.42
11/5/2001,TN,Full-Service Providers,6.33
11/12/2001,TX,Full-Service Providers,7.96
11/19/2001,UT,Full-Service Providers,6.29
11/26/2001,VA,Full-Service Providers,7.52
12/3/2001,VT,Full-Service Providers,12.30
12/10/2001,WA,Full-Service Providers,5.13
12/17/2001,WI,Full-Service Providers,7.53
12/24/2001,WV,Full-Service Providers,6.27
12/31/2001,WY,Full-Service Providers,6.50
